Date,Close,High,Low,Open,Volume,Commodity,Ticker
2016-02-16,879.75,882.75,873.25,875.5,168027,Soja,ZS=F
2016-02-17,882.5,885.25,876.75,879.0,171253,Soja,ZS=F
2016-02-18,879.75,882.75,878.0,882.25,131756,Soja,ZS=F
2016-02-19,878.25,881.75,877.75,879.5,123010,Soja,ZS=F
2016-02-22,881.0,887.5,880.25,881.75,143714,Soja,ZS=F
2016-02-23,869.25,880.25,868.0,880.0,110272,Soja,ZS=F
2016-02-24,867.5,870.5,864.5,869.25,91102,Soja,ZS=F
2016-02-25,859.0,871.0,858.5,867.0,83698,Soja,ZS=F
2016-02-26,855.0,862.5,854.5,860.0,58897,Soja,ZS=F
2016-02-29,853.0,857.0,852.0,854.0,12540,Soja,ZS=F
2016-03-01,850.75,858.25,849.75,853.0,9982,Soja,ZS=F
2016-03-02,854.25,857.5,849.0,850.25,7854,Soja,ZS=F
2016-03-03,856.25,858.0,850.5,855.0,4904,Soja,ZS=F
2016-03-04,870.5,871.75,860.5,860.5,6143,Soja,ZS=F
2016-03-07,873.5,879.75,873.0,875.0,1293,Soja,ZS=F
2016-03-08,877.5,877.5,870.75,872.0,787,Soja,ZS=F
2016-03-09,880.0,882.5,877.5,880.0,398,Soja,ZS=F
2016-03-10,881.75,882.5,875.5,880.0,313,Soja,ZS=F
2016-03-11,888.0,888.75,882.75,882.75,135,Soja,ZS=F
2016-03-14,888.0,890.0,888.0,889.0,98258,Soja,ZS=F
2016-03-15,892.0,895.5,888.5,894.75,101683,Soja,ZS=F
2016-03-16,894.5,894.75,886.0,891.5,94822,Soja,ZS=F
2016-03-17,897.75,904.5,893.5,895.0,148891,Soja,ZS=F
2016-03-18,897.5,904.75,896.0,897.0,80428,Soja,ZS=F
2016-03-21,902.0,905.0,892.25,895.0,109825,Soja,ZS=F
2016-03-22,910.25,914.0,900.0,901.5,181690,Soja,ZS=F
2016-03-23,905.25,912.5,901.5,909.5,119595,Soja,ZS=F
2016-03-24,910.5,911.75,902.0,905.25,118016,Soja,ZS=F
2016-03-28,909.0,914.75,906.25,911.0,91130,Soja,ZS=F
2016-03-29,916.0,917.0,907.0,908.25,127052,Soja,ZS=F
2016-03-30,909.0,917.0,908.25,915.25,126146,Soja,ZS=F
2016-03-31,910.75,914.0,896.0,908.5,216652,Soja,ZS=F
2016-04-01,918.25,920.0,908.25,909.25,126750,Soja,ZS=F
2016-04-04,913.5,922.25,912.75,918.5,104289,Soja,ZS=F
2016-04-05,904.75,916.5,904.0,911.5,124866,Soja,ZS=F
